iter	Passed	Remaining
0	136	136009
1	136	68235
2	137	45608
3	137	34357
4	138	27598
5	139	23068
6	139	19826
7	140	17394
8	140	15506
9	141	13992
10	141	12754
11	142	11722
12	142	10850
13	143	10103
14	143	9453
15	144	8885
16	144	8381
17	145	7956
18	146	7560
19	146	7200
20	147	6874
21	147	6578
22	148	6308
23	148	6058
24	149	5835
25	150	5626
26	151	5457
27	152	5282
28	154	5157
29	154	5000
30	155	4851
31	155	4710
32	156	4578
33	156	4454
34	157	4336
35	157	4225
36	158	4120
37	158	4021
38	159	3927
39	159	3837
40	160	3759
41	162	3701
42	163	3628
43	164	3563
44	164	3491
45	165	3427
46	165	3363
47	166	3299
48	166	3238
49	167	3178
50	169	3150
51	170	3102
52	170	3050
53	171	2999
54	171	2950
55	172	2903
56	172	2857
57	173	2812
58	173	2769
59	174	2728
60	174	2689
61	177	2686
62	178	2654
63	179	2620
64	179	2587
65	180	2553
66	180	2519
67	181	2483
68	181	2452
69	182	2421
70	185	2423
71	185	2396
72	186	2368
73	187	2340
74	187	2313
75	188	2285
76	188	2259
77	188	2233
78	189	2207
79	192	2218
80	193	2197
81	194	2174
82	194	2151
83	195	2129
84	195	2105
85	196	2084
86	196	2062
87	197	2041
88	199	2039
89	199	2021
90	200	2002
91	201	1984
92	201	1967
93	202	1949
94	202	1931
95	203	1913
96	203	1896
97	204	1879
98	204	1862
99	205	1847
100	206	1838
101	207	1826
102	208	1817
103	209	1803
104	209	1789
105	210	1777
106	211	1763
107	211	1749
108	215	1759
109	215	1747
110	216	1734
111	217	1720
112	217	1707
113	217	1693
114	218	1680
115	218	1667
116	219	1655
117	219	1643
118	220	1634
119	221	1627
120	223	1622
121	223	1611
122	224	1598
123	224	1587
124	225	1576
125	225	1565
126	226	1554
127	226	1542
128	226	1532
129	230	1541
130	230	1532
131	231	1522
132	231	1512
133	232	1501
134	232	1492
135	233	1482
136	233	1473
137	234	1463
138	235	1458
139	237	1456
140	238	1452
141	239	1444
142	239	1436
143	240	1427
144	240	1419
145	241	1411
146	241	1403
147	245	1415
148	246	1409
149	247	1402
150	248	1395
151	249	1391
152	250	1388
153	252	1384
154	252	1379
155	253	1372
156	254	1365
157	254	1358
158	255	1351
159	256	1344
160	256	1338
161	258	1334
162	259	1333
163	260	1329
164	263	1333
165	264	1327
166	265	1323
167	266	1320
168	267	1315
169	268	1310
170	269	1304
171	269	1297
172	270	1291
173	270	1285
174	271	1279
175	274	1286
176	275	1281
177	276	1277
178	277	1271
179	277	1264
180	277	1257
181	278	1250
182	278	1244
183	279	1238
184	283	1248
185	283	1242
186	284	1236
187	284	1230
188	285	1224
189	285	1219
190	286	1213
191	286	1207
192	288	1206
193	289	1204
194	290	1199
195	291	1194
196	291	1189
197	292	1183
198	292	1178
199	293	1173
200	293	1168
201	294	1163
202	296	1162
203	297	1159
204	298	1155
205	298	1151
206	299	1146
207	299	1141
208	300	1136
209	300	1131
210	301	1127
211	302	1122
212	302	1118
213	304	1118
214	305	1114
215	306	1111
216	306	1107
217	307	1102
218	308	1098
219	308	1094
220	309	1091
221	311	1091
222	312	1090
223	313	1086
224	314	1082
225	314	1077
226	315	1075
227	316	1070
228	317	1069
229	319	1068
230	319	1064
231	320	1061
232	321	1057
233	321	1053
234	322	1049
235	323	1045
236	323	1041
237	326	1043
238	327	1042
239	328	1039
240	329	1036
241	329	1032
242	330	1028
243	330	1025
244	333	1029
245	334	1025
246	335	1022
247	335	1018
248	336	1014
249	336	1010
250	337	1006
251	337	1002
252	338	998
253	338	994
