iter	Passed	Remaining
0	143	143572
1	144	72103
2	145	48197
3	145	36234
4	145	29052
5	146	24264
6	148	21066
7	149	18509
8	149	16498
9	150	14886
10	150	13571
11	151	12470
12	152	11541
13	152	10751
14	153	10068
15	156	9597
16	156	9066
17	157	8586
18	158	8157
19	158	7769
20	159	7418
21	159	7098
22	160	6804
23	160	6535
24	161	6305
25	162	6079
26	162	5872
27	163	5678
28	164	5495
29	164	5321
30	165	5160
31	165	5008
32	166	4865
33	166	4731
34	166	4604
35	167	4484
36	167	4370
37	168	4263
38	169	4168
39	169	4076
40	170	3985
41	170	3898
42	171	3815
43	171	3736
44	172	3670
45	173	3598
46	174	3528
47	174	3461
48	174	3396
49	176	3356
50	177	3298
51	177	3240
52	178	3184
53	178	3130
54	179	3078
55	179	3028
56	180	2979
57	180	2933
58	181	2888
59	181	2845
60	182	2802
61	185	2805
62	186	2772
63	187	2735
64	187	2698
65	188	2665
66	188	2631
67	189	2602
68	191	2585
69	192	2555
70	193	2536
71	194	2505
72	194	2475
73	195	2445
74	195	2416
75	196	2390
76	197	2363
77	199	2362
78	200	2339
79	201	2315
80	202	2291
81	202	2268
82	202	2242
83	203	2220
84	204	2199
85	204	2177
86	206	2162
87	207	2145
88	207	2127
89	208	2108
90	209	2088
91	209	2069
92	210	2050
93	210	2032
94	211	2013
95	211	1995
96	212	1977
97	213	1962
98	214	1950
99	214	1933
100	215	1916
101	215	1899
102	216	1883
103	216	1866
104	217	1850
105	217	1835
106	218	1820
107	218	1804
108	218	1790
109	219	1775
110	219	1761
111	220	1749
112	221	1740
113	222	1727
114	222	1714
115	223	1701
116	223	1687
117	224	1674
118	224	1662
119	225	1650
120	225	1638
121	226	1626
122	226	1614
123	226	1603
124	227	1591
125	228	1582
126	228	1572
127	229	1562
128	229	1551
129	230	1541
130	230	1530
131	231	1520
132	231	1510
133	232	1500
134	232	1490
135	233	1480
136	233	1470
137	233	1461
138	234	1452
139	234	1442
140	235	1435
141	236	1426
142	236	1419
143	237	1411
144	237	1402
145	238	1394
146	238	1385
147	239	1377
148	239	1369
149	240	1361
150	240	1354
151	241	1346
152	241	1339
153	242	1331
154	243	1325
155	244	1320
156	244	1313
157	245	1306
158	245	1298
159	246	1291
160	246	1283
161	246	1276
162	247	1269
163	247	1262
164	248	1255
165	248	1248
166	249	1242
167	249	1235
168	249	1228
169	251	1229
170	252	1223
171	252	1217
172	253	1211
173	253	1205
174	254	1199
175	254	1192
176	255	1186
177	255	1180
178	256	1174
179	256	1168
180	257	1163
181	257	1157
182	258	1153
183	259	1148
184	259	1143
185	260	1138
186	260	1133
187	261	1128
188	261	1123
189	262	1118
190	262	1113
191	263	1107
192	263	1102
193	264	1097
194	264	1092
195	265	1087
196	266	1088
197	267	1083
198	267	1078
199	268	1073
200	268	1069
201	269	1064
202	269	1059
203	270	1055
204	270	1050
205	271	1045
206	271	1041
